timestamp,emg,front_left_sensor_1,front_left_sensor_2,front_right_sensor_1,front_right_sensor_2,back_left_sensor,back_right_sensor
1745906938.7969139,93,0,0,0,0,295,284
1745906938.7972329,109,0,0,0,0,297,289
1745906938.797534,106,0,0,0,0,301,290
1745906938.797869,106,0,0,0,0,302,289
1745906938.7981708,122,0,0,0,0,298,286
1745906938.798469,106,0,0,0,0,301,285
1745906938.798793,100,0,0,0,0,303,285
1745906938.799111,136,0,0,0,0,306,284
1745906938.7994208,96,0,0,0,0,302,282
1745906938.799732,91,0,0,0,0,297,283
1745906938.800065,81,0,0,0,0,301,287
1745906938.800378,119,0,0,0,0,303,288
1745906938.8006961,111,0,0,0,0,302,290
1745906938.801093,133,0,0,0,0,301,291
1745906938.801271,155,0,0,0,0,303,293
1745906938.801446,184,0,0,0,0,303,289
1745906938.8016698,124,0,0,0,0,305,288
1745906938.8019059,120,0,0,0,0,308,291
1745906938.80208,153,0,0,0,0,320,289
1745906938.8343942,186,0,0,0,0,338,283
1745906938.886056,173,0,0,0,0,340,288
1745906938.9377658,146,0,0,0,0,343,297
1745906938.9881248,80,0,0,0,0,356,304
1745906939.039804,72,0,0,0,0,361,304
1745906939.092236,102,0,0,0,0,360,301
1745906939.142817,83,0,0,0,0,356,296
1745906939.1942248,57,0,0,0,0,357,298
1745906939.245816,52,0,0,0,0,343,287
1745906939.297065,67,0,0,0,0,307,272
